wvl	c7101904
1397	0.985242
1398	0.983544
1399	0.982201
1400	0.984408
1401	0.986418
1402	0.984592
1403	0.982287
1404	0.981218
1405	0.98344
1406	0.983267
1407	0.982793
1408	0.984512
1409	0.984577
1410	0.984274
1411	0.983691
1412	0.983739
1413	0.983204
1414	0.98487
1415	0.985859
1416	0.983801
1417	0.982448
1418	0.984333
1419	0.984587
1420	0.9853
1421	0.985016
1422	0.984111
1423	0.984811
1424	0.983792
1425	0.982346
1426	0.984256
1427	0.98654
1428	0.98564
1429	0.986549
1430	0.986798
1431	0.984613
1432	0.984926
1433	0.986956
1434	0.984632
1435	0.98471
1436	0.985363
1437	0.984671
1438	0.984952
1439	0.984518
1440	0.985118
1441	0.984903
1442	0.985127
1443	0.987031
1444	0.986657
1445	0.983996
1446	0.984375
1447	0.985017
1448	0.984075
1449	0.984302
1450	0.984049
1451	0.983656
1452	0.985517
1453	0.986719
1454	0.983841
1455	0.983409
1456	0.985544
1457	0.983793
1458	0.983215
1459	0.983533
1460	0.984686
1461	0.984269
1462	0.983681
1463	0.983786
1464	0.983535
1465	0.985093
1466	0.984817
1467	0.984507
1468	0.985793
1469	0.986344
1470	0.985777
1471	0.986763
1472	0.986506
1473	0.985435
1474	0.985978
1475	0.986765
1476	0.985928
1477	0.984433
1478	0.985196
1479	0.984208
1480	0.983485
1481	0.984998
1482	0.985176
1483	0.985488
1484	0.986186
1485	0.98662
1486	0.985867
1487	0.985049
1488	0.984982
1489	0.986254
1490	0.986634
1491	0.985152
1492	0.985624
1493	0.986698
1494	0.985696
1495	0.984128
1496	0.984886
1497	0.986499
1498	0.985513
1499	0.986646
1500	0.986048
1501	0.984153
1502	0.985064
1503	0.983731
1504	0.983341
1505	0.987482
1506	0.986515
1507	0.986246
1508	0.987537
1509	0.986185
1510	0.984207
1511	0.984923
1512	0.984297
1513	0.984424
1514	0.986665
1515	0.987516
1516	0.986321
1517	0.986038
1518	0.98691
1519	0.986818
1520	0.986923
1521	0.986437
1522	0.984617
1523	0.985232
1524	0.985794
1525	0.985309
1526	0.985041
1527	0.985297
1528	0.984887
1529	0.9846
1530	0.985691
1531	0.986325
1532	0.986154
1533	0.985728
1534	0.985756
1535	0.986595
1536	0.986428
1537	0.987013
1538	0.986872
1539	0.984608
1540	0.984311
1541	0.985775
1542	0.985902
1543	0.984258
1544	0.985716
1545	0.987221
1546	0.985949
1547	0.984986
1548	0.985443
1549	0.985232
1550	0.985592
1551	0.986016
1552	0.986359
1553	0.986234
1554	0.98497
1555	0.98431
1556	0.98379
1557	0.984738
1558	0.98571
1559	0.984174
1560	0.984157
1561	0.985073
1562	0.986721
1563	0.987012
1564	0.986395
1565	0.986676
1566	0.98451
1567	0.982649
1568	0.983472
1569	0.985564
1570	0.985884
1571	0.986508
1572	0.985919
1573	0.985074
1574	0.985946
1575	0.986266
1576	0.984694
1577	0.984125
1578	0.986063
1579	0.986532
1580	0.98687
1581	0.986932
1582	0.985943
1583	0.985055
1584	0.984672
1585	0.984046
1586	0.984691
1587	0.985921
1588	0.986316
1589	0.985586
1590	0.983887
1591	0.982553
1592	0.983613
1593	0.983889
1594	0.983132
1595	0.984515
1596	0.985568
1597	0.98545
1598	0.985745
1599	0.986819
1600	0.987002
1601	0.98597
1602	0.987121
1603	0.988063
1604	0.986328
1605	0.985873
1606	0.985313
1607	0.986026
1608	0.984594
1609	0.984509
1610	0.986456
1611	0.986216
1612	0.984816
1613	0.984906
1614	0.985179
1615	0.985016
1616	0.985458
1617	0.985169
1618	0.986119
1619	0.986654
1620	0.98543
1621	0.983376
1622	0.982405
1623	0.98387
1624	0.985764
1625	0.986446
1626	0.984714
1627	0.983721
1628	0.98438
1629	0.985326
1630	0.985857
1631	0.985496
1632	0.985693
1633	0.985936
1634	0.986013
1635	0.985986
1636	0.986055
1637	0.986415
1638	0.98491
1639	0.983874
1640	0.984637
1641	0.985177
1642	0.984646
1643	0.983371
1644	0.984146
1645	0.98418
1646	0.98262
1647	0.981835
1648	0.984388
1649	0.985698
1650	0.983564
1651	0.982739
1652	0.982976
1653	0.982661
1654	0.983876
1655	0.983476
1656	0.983404
1657	0.984994
1658	0.985291
1659	0.98571
1660	0.983537
1661	0.981624
1662	0.98188
1663	0.982098
1664	0.982349
1665	0.983314
1666	0.983067
1667	0.982795
1668	0.984026
1669	0.98442
1670	0.982932
1671	0.982828
1672	0.981153
1673	0.98157
1674	0.983223
1675	0.983529
1676	0.984409
1677	0.983414
1678	0.982497
1679	0.982798
1680	0.984063
1681	0.98418
1682	0.983349
1683	0.982167
1684	0.982896
1685	0.983223
1686	0.982538
1687	0.9836
1688	0.98512
1689	0.9844
1690	0.982941
1691	0.982217
1692	0.981797
1693	0.982172
1694	0.982282
1695	0.982549
1696	0.982062
1697	0.982061
1698	0.981739
1699	0.981718
1700	0.982342
1701	0.981619
1702	0.980317
1703	0.979983
1704	0.980596
1705	0.981889
1706	0.981983
1707	0.982837
1708	0.982773
1709	0.982127
1710	0.981662
1711	0.983423
1712	0.9832
1713	0.982285
1714	0.980789
1715	0.981589
1716	0.981431
1717	0.981165
1718	0.981045
1719	0.981784
1720	0.982072
1721	0.981273
1722	0.980588
1723	0.981084
1724	0.980784
1725	0.981166
1726	0.981419
1727	0.98186
1728	0.981956
1729	0.982736
1730	0.982762
1731	0.982051
1732	0.982193
1733	0.9826
1734	0.981649
1735	0.981906
1736	0.982299
1737	0.982341
1738	0.98343
1739	0.982121
1740	0.980742
1741	0.981661
1742	0.981046
1743	0.979647
1744	0.981831
1745	0.982998
1746	0.982381
1747	0.981489
1748	0.983459
1749	0.984191
1750	0.983674
1751	0.981527
1752	0.981057
1753	0.983003
1754	0.984157
1755	0.983726
1756	0.983434
1757	0.982554
1758	0.980577
1759	0.982293
1760	0.983245
1761	0.983011
1762	0.983629
1763	0.984395
1764	0.984471
1765	0.98239
1766	0.983143
1767	0.984334
1768	0.984904
1769	0.985174
1770	0.983987
1771	0.983499
1772	0.984544
1773	0.984121
1774	0.983494
1775	0.982799
1776	0.98276
1777	0.982832
1778	0.982229
1779	0.981287
1780	0.98249
1781	0.983752
1782	0.98219
1783	0.981161
1784	0.982611
1785	0.982183
1786	0.9807
1787	0.98135
1788	0.98304
1789	0.983387
